python analyze_traffic.py --log-file logs/traffic_log_20250609_143649.csvtimestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:30:38.164,flow_726,h4,h6,10.0.2.2,10.0.3.2,iperf,1572864,12600000,8.059,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 8.06ms",2025-06-09 14:30:38.164,2025-06-09 14:31:08.314
2025-06-09 14:30:54.708,flow_731,h4,h7,10.0.2.2,10.0.4.1,ping,320,0,16.24,5,0,SUCCESS,"Packet Loss: 0%, RTT: 11.979/16.240/27.374/5.620 ms",2025-06-09 14:30:54.708,2025-06-09 14:31:12.338
2025-06-09 14:30:43.182,flow_728,h3,h5,10.0.2.1,10.0.3.1,iperf,1572864,12600000,8.163,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 8.16ms",2025-06-09 14:30:43.182,2025-06-09 14:31:19.911
2025-06-09 14:30:55.215,flow_732,h7,h2,10.0.4.1,10.0.1.2,iperf,1572864,12600000,10.953,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 10.95ms",2025-06-09 14:30:55.215,2025-06-09 14:31:18.930
2025-06-09 14:31:09.737,flow_733,h2,h6,10.0.1.2,10.0.3.2,iperf,1174405,9440000,11.163,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 11.16ms",2025-06-09 14:31:09.737,2025-06-09 14:31:23.348
2025-06-09 14:31:14.244,flow_734,h4,h8,10.0.2.2,10.0.4.2,mtr,640,0,7.42,13.904306,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(7.4ms,0%loss) | small_pkt(7.4ms,0%loss) | large_pkt(7.8ms,0%loss) | rapid(7.1ms,0%loss) | Jitter: 10.5% | Successful: 4/4",2025-06-09 14:31:14.244,2025-06-09 14:31:28.148
2025-06-09 14:31:20.754,flow_735,h4,h5,10.0.2.2,10.0.3.1,mtr,640,0,7.59,17.268291,0.0,SUCCESS,"NetDiag: Excellent | Tests: basic(7.6ms,0%loss) | small_pkt(7.9ms,0%loss) | large_pkt(7.4ms,0%loss) | rapid(7.4ms,0%loss) | Jitter: 5.9% | Successful: 4/4",2025-06-09 14:31:20.754,2025-06-09 14:31:38.022
2025-06-09 14:30:45.693,flow_729,h3,h6,10.0.2.1,10.0.3.2,iperf,917504,7340000,8.218,30,0,SUCCESS,"Transfer: 896 KBytes, Bandwidth: 7.34 Mbits/sec | Latency: 8.22ms",2025-06-09 14:30:45.693,2025-06-09 14:31:50.032
2025-06-09 14:31:28.269,flow_738,h4,h1,10.0.2.2,10.0.1.1,iperf,1174405,9440000,7.964,10,0,SUCCESS,"Transfer: 1.12 MBytes, Bandwidth: 9.44 Mbits/sec | Latency: 7.96ms",2025-06-09 14:31:28.269,2025-06-09 14:31:51.599
2025-06-09 14:31:53.809,flow_741,h7,h4,10.0.4.1,10.0.2.2,ping,320,0,8.209,5,0,SUCCESS,"Packet Loss: 0%, RTT: 7.934/8.209/8.627/0.244 ms",2025-06-09 14:31:53.809,2025-06-09 14:31:57.830
2025-06-09 14:31:25.264,flow_736,h2,h6,10.0.1.2,10.0.3.2,iperf,524288,4190000,131.111,30,0,SUCCESS,"Transfer: 512 KBytes, Bandwidth: 4.19 Mbits/sec | Latency: 131.11ms",2025-06-09 14:31:25.264,2025-06-09 14:31:59.209
2025-06-09 14:30:46.196,flow_730,h3,h5,10.0.2.1,10.0.3.1,iperf,1572864,12600000,7.689,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 7.69ms",2025-06-09 14:30:46.196,2025-06-09 14:32:10.139
2025-06-09 14:32:11.334,flow_744,h6,h3,10.0.3.2,10.0.2.1,ping,320,0,7.847,5,0,SUCCESS,"Packet Loss: 0%, RTT: 6.878/7.847/9.096/0.731 ms",2025-06-09 14:32:11.334,2025-06-09 14:32:15.352
2025-06-09 14:31:51.304,flow_740,h7,h1,10.0.4.1,10.0.1.1,iperf,1572864,12600000,8.312,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 8.31ms",2025-06-09 14:31:51.304,2025-06-09 14:32:27.949
2025-06-09 14:31:25.765,flow_737,h1,h3,10.0.1.1,10.0.2.1,iperf,1572864,12600000,13.792,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 12.6 Mbits/sec | Latency: 13.79ms",2025-06-09 14:31:25.765,2025-06-09 14:32:31.783
