timestamp,flow_id,from_host,to_host,from_ip,to_ip,traffic_type,size_bytes,bandwidth_bps,latency_ms,duration_sec,packet_loss_pct,status,details,flow_start_time,flow_end_time
2025-06-09 14:55:30.233,flow_219,h5,h2,10.0.3.1,10.0.1.2,iperf,829440,5644000,13.188,10,0,SUCCESS,"Transfer: 810 KBytes, Bandwidth: 5.64 Mbits/sec | Latency: 13.19ms",2025-06-09 14:55:30.233,2025-06-09 14:55:56.950
2025-06-09 14:55:27.212,flow_217,h3,h2,10.0.2.1,10.0.1.2,iperf,1572864,10710000,11.227,30,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 11.23ms",2025-06-09 14:55:27.212,2025-06-09 14:56:00.819
2025-06-09 14:55:26.701,flow_216,h1,h5,10.0.1.1,10.0.3.1,iperf,1310720,8925000,9.552,30,0,SUCCESS,"Transfer: 1.25 MBytes, Bandwidth: 8.92 Mbits/sec | Latency: 9.55ms",2025-06-09 14:55:26.701,2025-06-09 14:56:07.781
2025-06-09 14:55:57.779,flow_222,h5,h7,10.0.3.1,10.0.4.1,mtr,640,0,244.98,12.676229,0.0,SUCCESS,"NetDiag: Poor | Tests: basic(104.2ms,0%loss) | small_pkt(216.3ms,0%loss) | large_pkt(308.5ms,0%loss) | rapid(187.6ms,0%loss) | Jitter: 100.1% | Successful: 4/4",2025-06-09 14:55:57.779,2025-06-09 14:56:10.456
2025-06-09 14:56:02.303,flow_223,h1,h6,10.0.1.1,10.0.3.2,ping,320,0,9.742,5,0,SUCCESS,"Packet Loss: 0%, RTT: 6.968/8.118/9.019/0.769 ms",2025-06-09 14:56:02.303,2025-06-09 14:56:13.845
2025-06-09 14:54:54.616,flow_212,h3,h5,10.0.2.1,10.0.3.1,iperf,524288,3561500,12.62,20,0,SUCCESS,"Transfer: 512 KBytes, Bandwidth: 3.56 Mbits/sec | Latency: 12.62ms",2025-06-09 14:54:54.616,2025-06-09 14:56:21.089
2025-06-09 14:56:15.847,flow_226,h6,h1,10.0.3.2,10.0.1.1,ping,320,0,24.269,5,0,SUCCESS,"Packet Loss: 0%, RTT: 16.968/20.224/22.332/1.806 ms",2025-06-09 14:56:15.847,2025-06-09 14:56:24.972
2025-06-09 14:56:10.838,flow_224,h6,h1,10.0.3.2,10.0.1.1,mtr,640,0,19.956,18.010559,0.0,SUCCESS,"NetDiag: Fair | Tests: basic(7.6ms,0%loss) | small_pkt(16.7ms,0%loss) | large_pkt(20.0ms,0%loss) | rapid(22.2ms,0%loss) | Jitter: 87.6% | Successful: 4/4",2025-06-09 14:56:10.838,2025-06-09 14:56:28.849
2025-06-09 14:55:47.260,flow_221,h1,h4,10.0.1.1,10.0.2.2,iperf,1572864,10710000,9.506,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 9.5ms",2025-06-09 14:55:47.260,2025-06-09 14:56:33.940
2025-06-09 14:55:34.739,flow_220,h2,h3,10.0.1.2,10.0.2.1,iperf,1572864,10710000,23.851,20,0,SUCCESS,"Transfer: 1.50 MBytes, Bandwidth: 10.71 Mbits/sec | Latency: 23.86ms",2025-06-09 14:55:34.739,2025-06-09 14:56:42.756
